InvoiceID,Date,Branch,CustomerType,Gender,ProductLine,UnitPrice,Quantity,Tax,Total,Payment,COGS,GrossMargin,GrossIncome,Rating
INV695359,2023-11-16,A,Normal,Female,Food and beverages,8.32,4,13.18,522.58,Credit card,358.95,13.35,176.41,5.1
INV208665,2024-02-14,A,Normal,Female,Sports and travel,80.39,1,11.54,995.44,Credit card,236.1,7.74,67.02,2.1
INV918599,2024-01-24,B,Member,Female,Food and beverages,30.44,3,6.36,825.99,Credit card,736.48,14.85,88.46,1.5
INV776798,2024-09-05,B,Member,Female,Health and beauty,80.68,1,5.94,400.39,Ewallet,53.99,9.18,184.13,4.0
INV916653,2025-05-01,A,Normal,Male,Home and lifestyle,77.41,3,13.38,762.6,Cash,782.95,16.44,193.63,2.8
INV737073,2025-06-05,C,Member,Female,Health and beauty,54.86,4,1.83,234.05,Credit card,86.72,13.38,93.96,4.0
INV322922,,C,Normal,Male,Sports and travel,39.2,9,7.01,349.69,Cash,5.75,16.72,158.2,2.8
INV441921,2024-02-21,A,Member,Male,Home and lifestyle,31.82,4,3.54,712.78,Ewallet,320.69,8.62,26.84,5.0
INV744476,2025-02-09,C,Normal,Female,Electronic accessories typo,10.34,1,7.24,323.02,Cash,737.5,8.93,121.38,2.5
INV124071,2024-09-17,A,Member,Female,Electronic accessories,98.35,8,5.98,976.1,Ewallet,395.1,4.04,57.22,2.7
INV501496,2024-08-12,B,Member,Female,Electronic accessories,21.07,8,4.63,936.35,Credit card,783.46,11.15,108.96,6.0
INV512538,,C,Member,Male,Health and beauty,58.41,4,17.38,506.43,Cash,611.87,7.92,120.89,3.3
INV356735,2023-07-14,A,Member,Female,Home and lifestyle,9.44,2,1.21,940.52,Cash,158.15,11.14,105.46,4.4
INV307717,2024-11-19,A,Normal,Female,Health and beauty,98.58,1,14.17,512.18,Ewallet,355.65,7.0,167.32,3.0
INV686716,2025-06-22,B,Member,Female,Home and lifestyle,85.88,7,6.95,697.65,Cash,410.97,17.45,112.23,3.3
INV259481,2024-01-08,C,Member,Female,Health and beauty,3.86,5,1.52,966.68,Credit card,59.13,6.27,176.97,8.3
INV731835,2024-11-18,C,Normal,Female,Food and beverages,42.89,8,19.94,870.61,Credit card,229.86,5.08,158.5,3.9
INV371952,2024-06-18,A,Member,Female,Home and lifestyle,94.81,4,8.46,356.64,Credit card,19.32,14.63,46.24,1.2
INV120198,2023-09-15,A,Member,Female,Sports and travel,43.84,2,8.42,417.35,Credit card,609.38,18.72,46.91,5.9
INV802996,2024-12-03,B,Normal,Male,Health and beauty,69.77,6,7.73,858.3,Cash,693.25,15.23,120.56,9.4
INV475321,2024-03-21,C,Member,Female,Fashion accessories,95.33,6,3.1,716.4,Ewallet,282.6,15.62,129.14,5.5
INV835564,2023-12-18,C,Member,Female,Health and beauty,39.26,8,5.47,449.87,Cash,695.05,15.19,43.18,6.6
INV377858,2025-02-07,B,Member,Male,Sports and travel,26.52,7,3.14,610.16,Ewallet,505.33,10.14,36.36,5.9
INV283184,2025-06-19,A,Normal,Female,,73.61,8,17.31,250.91,Credit card,129.29,7.24,105.53,1.3
